run_id,protocol,split_id,split_npz,dataset_pickle,n_components,downsample_factor,electrode_regions,apply_ts2vec,ts2vec_output_dims,ts2vec_epochs,ts2vec_hidden_dims,ts2vec_depth,ts2vec_batch_size,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,tcn_layers,tcn_kernel_size,transformer_heads,transformer_layers,transformer_ff_mult,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,selection_rank,note,enable_spatial_aug,subset_method,run_id_base,run_id_used,run_dir,eval_greedy_test_json,eval_lex_train_json,eval_lex_all_json,greedy_test_cer,greedy_test_wer,lex_train_cer,lex_train_wer,lex_all_cer,lex_all_wer,param_count,n_samples,total_chars,total_edits,split_seed,stream_rtf,stream_chunk_latency_ms,stream_end_to_end_latency_ms,stream_first_output_latency_ms,stream_model_family,stream_streaming_ready,lex_train_lexicon_source,lex_train_lexicon_size,lex_all_lexicon_source,lex_all_lexicon_size
P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj1_seed0,raw_dataset/train_test_competition_split_seed0_subj1_ds1.npz,data/ms20260224/P1_subj1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.0953125,0.48,0.384375,1.0,0.0375,0.11,10260827,100,640,61,None,0.00045720297389379095,0.02106882196947535,281.1615241551772,280.0,uni_gru,True,train,1064,all,1164
P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj1_seed1,raw_dataset/train_test_competition_split_seed1_subj1_ds1.npz,data/ms20260224/P1_subj1_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.12794117647058822,0.55,0.4323529411764706,1.0,0.03529411764705882,0.08,10260827,100,680,87,None,0.0004368092973559178,0.0199968087363194,281.16501407697797,280.0,uni_gru,True,train,1064,all,1164
P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj1_seed2,raw_dataset/train_test_competition_split_seed2_subj1_ds1.npz,data/ms20260224/P1_subj1_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.11734693877551021,0.49,0.39625850340136054,1.0,0.04421768707482993,0.12,10260827,100,588,69,None,0.0009196069098697406,0.042746406399134886,282.2074244264513,280.0,uni_gru,True,train,1064,all,1164
P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj1_seed3,raw_dataset/train_test_competition_split_seed3_subj1_ds1.npz,data/ms20260224/P1_subj1_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.0976027397260274,0.46,0.3921232876712329,1.0,0.04280821917808219,0.13,10260827,100,584,57,None,0.0005995192415015098,0.027902912947411363,281.42667593900114,280.0,uni_gru,True,train,1064,all,1164
P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj2_seed0,raw_dataset/train_test_competition_split_seed0_subj2_ds1.npz,data/ms20260224/P1_subj2_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.1441947565543071,0.52,0.4232209737827715,1.0,0.06928838951310862,0.18,10260827,100,534,77,None,0.0005783192120987288,0.028093580073970354,281.1023920821026,280.0,uni_gru,True,train,1064,all,1164
P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj2_seed1,raw_dataset/train_test_competition_split_seed1_subj2_ds1.npz,data/ms20260224/P1_subj2_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.10130718954248366,0.49,0.40522875816993464,1.0,0.05718954248366013,0.18,10260827,100,612,62,None,0.0005375894649447004,0.025547896192332623,281.1356039857492,280.0,uni_gru,True,train,1064,all,1164
P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj2_seed2,raw_dataset/train_test_competition_split_seed2_subj2_ds1.npz,data/ms20260224/P1_subj2_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj2_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.13183279742765272,0.53,0.41639871382636656,1.0,0.05787781350482315,0.14,10260827,100,622,82,None,0.0005557494878845231,0.026352094922206522,281.19374989997596,280.0,uni_gru,True,train,1064,all,1164
P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj2_seed3,raw_dataset/train_test_competition_split_seed3_subj2_ds1.npz,data/ms20260224/P1_subj2_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj2_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.10802469135802469,0.53,0.44598765432098764,1.0,0.05709876543209876,0.16,10260827,100,648,70,None,0.0007120550016205133,0.03360228720709394,281.5692268125713,280.0,uni_gru,True,train,1064,all,1164
P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj3_seed0,raw_dataset/train_test_competition_split_seed0_subj3_ds1.npz,data/ms20260224/P1_subj3_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj3_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.18494897959183673,0.656,0.45153061224489793,1.0,0.10204081632653061,0.208,10260827,125,784,145,None,0.00032077968537323905,0.014449160199911064,280.9616205096245,280.0,uni_gru,True,train,1064,all,1164
P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj3_seed1,raw_dataset/train_test_competition_split_seed1_subj3_ds1.npz,data/ms20260224/P1_subj3_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj3_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.18741058655221746,0.717948717948718,0.4520743919885551,1.0,0.12732474964234622,0.29914529914529914,10260827,117,699,131,None,0.00046771636967513205,0.021178000126092385,281.34018729003066,280.0,uni_gru,True,train,1064,all,1164
P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj3_seed2,raw_dataset/train_test_competition_split_seed2_subj3_ds1.npz,data/ms20260224/P1_subj3_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj3_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.1917808219178082,0.7105263157894737,0.4794520547945205,1.0,0.0898021308980213,0.17543859649122806,10260827,114,657,126,None,0.0003766124209895565,0.017107791186505635,281.0599327118446,280.0,uni_gru,True,train,1064,all,1164
P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj3_seed3,raw_dataset/train_test_competition_split_seed3_subj3_ds1.npz,data/ms20260224/P1_subj3_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj3_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.21390374331550802,0.7063492063492064,0.47058823529411764,1.0,0.14037433155080214,0.2777777777777778,10260827,126,748,160,None,0.0003363514185940023,0.015209996813477672,280.9797169376046,280.0,uni_gru,True,train,1064,all,1164
P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj4_seed0,raw_dataset/train_test_competition_split_seed0_subj4_ds1.npz,data/ms20260224/P1_subj4_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj4_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.29936305732484075,0.803921568627451,0.4968152866242038,1.0,0.18152866242038215,0.3333333333333333,10260827,51,314,94,None,0.0010310547083368874,0.04763305472254006,282.53295773348094,280.0,uni_gru,True,train,1062,all,1162
P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj4_seed1,raw_dataset/train_test_competition_split_seed1_subj4_ds1.npz,data/ms20260224/P1_subj4_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj4_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.2975778546712803,0.78,0.47750865051903113,1.0,0.17647058823529413,0.3,10260827,50,289,86,None,0.0009176771790279329,0.042770826697068394,282.17617966234684,280.0,uni_gru,True,train,1062,all,1162
P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj4_seed2,raw_dataset/train_test_competition_split_seed2_subj4_ds1.npz,data/ms20260224/P1_subj4_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj4_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.3059210526315789,0.82,0.5098684210526315,1.0,0.2236842105263158,0.42,10260827,50,304,93,None,0.0008585069678879583,0.03986489953343125,282.07775856368244,280.0,uni_gru,True,train,1062,all,1162
P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1,subj4_seed3,raw_dataset/train_test_competition_split_seed3_subj4_ds1.npz,data/ms20260224/P1_subj4_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P1_subj4_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.2691029900332226,0.78,0.4950166112956811,1.0,0.18604651162790697,0.38,10260827,50,301,81,None,0.0009425378069281578,0.043539255678499526,282.3563445173204,280.0,uni_gru,True,train,1062,all,1162
P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P2,subj1_seed0,raw_dataset/protocolS_split_seed0_subj1_ds1.npz,data/ms20260224/P2_subj1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline:multi_subj,,,P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_greedy_test.json,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_train.json,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ms20260224/eval_lex_all.json,0.10314982973893302,0.46219931271477666,0.05490919409761635,0.14347079037800686,0.0398694665153235,0.10652920962199312,10260827,1164,7048,727,None,0.00010495461441278145,0.004861234271180621,280.25726954774336,280.0,uni_gru,True,train,1114,all,1164
