run_id,protocol,split_id,split_npz,dataset_pickle,n_components,downsample_factor,electrode_regions,apply_ts2vec,ts2vec_output_dims,ts2vec_epochs,ts2vec_hidden_dims,ts2vec_depth,ts2vec_batch_size,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,tcn_layers,tcn_kernel_size,transformer_heads,transformer_layers,transformer_ff_mult,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,selection_rank,enable_spatial_aug,subset_method,note,run_id_base,run_id_used,run_dir,eval_greedy_test_json,eval_lex_train_json,eval_lex_all_json,greedy_test_cer,greedy_test_wer,lex_train_cer,lex_train_wer,lex_all_cer,lex_all_wer,param_count,n_samples,total_chars,total_edits,split_seed,stream_rtf,stream_chunk_latency_ms,stream_end_to_end_latency_ms,stream_first_output_latency_ms,stream_model_family,stream_streaming_ready,lex_train_lexicon_source,lex_train_lexicon_size,lex_all_lexicon_source,lex_all_lexicon_size
P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj1_seed0,raw_dataset/train_test_competition_split_seed0_subj1_ds1.npz,data/ms20260224/P1_subj1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.11875,0.55,0.384375,1.0,0.0375,0.11,10342315,100,640,76,None,0.0029814064475588383,0.13738913622389315,287.57426308002323,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj1_seed0,raw_dataset/train_test_competition_split_seed0_subj1_ds1.npz,data/ms20260224/P1_subj1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj1_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.1359375,0.62,0.4015625,1.0,0.078125,0.21,10342315,100,640,87,None,0.002865955928995651,0.13206894680960368,287.28096103761345,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj1_seed1,raw_dataset/train_test_competition_split_seed1_subj1_ds1.npz,data/ms20260224/P1_subj1_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.5764705882352941,1.0,0.6676470588235294,1.0,0.6058823529411764,0.9,10342315,100,680,392,None,0.002827741204155859,0.12945191496059202,287.5418685656041,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj1_seed1,raw_dataset/train_test_competition_split_seed1_subj1_ds1.npz,data/ms20260224/P1_subj1_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj1_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.16470588235294117,0.63,0.4264705882352941,1.0,0.08235294117647059,0.19,10342315,100,680,112,None,0.0031441025662059473,0.14393470570422043,288.3856359543279,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj1_seed2,raw_dataset/train_test_competition_split_seed2_subj1_ds1.npz,data/ms20260224/P1_subj1_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.16666666666666666,0.59,0.39625850340136054,1.0,0.07993197278911565,0.18,10342315,100,588,98,None,0.0035628371243780254,0.16561259166067027,288.552234233357,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj1_seed2,raw_dataset/train_test_competition_split_seed2_subj1_ds1.npz,data/ms20260224/P1_subj1_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj1_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.19047619047619047,0.65,0.43197278911564624,1.0,0.10204081632653061,0.21,10342315,100,588,112,None,0.0033579455313645706,0.15608854480030046,288.0604124534875,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj1_seed3,raw_dataset/train_test_competition_split_seed3_subj1_ds1.npz,data/ms20260224/P1_subj1_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.14383561643835616,0.52,0.4366438356164384,1.0,0.07876712328767123,0.18,10342315,100,584,84,None,0.003689016166700457,0.17169473443960645,288.7787517718971,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj1_seed3,raw_dataset/train_test_competition_split_seed3_subj1_ds1.npz,data/ms20260224/P1_subj1_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj1_seed3_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.17636986301369864,0.62,0.4691780821917808,1.0,0.12157534246575342,0.24,10342315,100,584,103,None,0.002856676674145392,0.1329558670343006,286.7980334814638,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj2_seed0,raw_dataset/train_test_competition_split_seed0_subj2_ds1.npz,data/ms20260224/P1_subj2_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.2247191011235955,0.72,0.4794007490636704,1.0,0.16853932584269662,0.33,10342315,100,534,120,None,0.003645940879798582,0.17711244916085772,286.94989250507206,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj2_seed0,raw_dataset/train_test_competition_split_seed0_subj2_ds1.npz,data/ms20260224/P1_subj2_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj2_seed0_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.32397003745318353,0.86,0.5168539325842697,1.0,0.31086142322097376,0.59,10342315,100,534,173,None,0.004295003402545499,0.2086425964814534,288.18713548593223,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj2_seed1,raw_dataset/train_test_competition_split_seed1_subj2_ds1.npz,data/ms20260224/P1_subj2_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.2107843137254902,0.78,0.45588235294117646,1.0,0.10784313725490197,0.3,10342315,100,612,129,None,0.003351149964609244,0.15925689955546832,287.07896918524057,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj2_seed1,raw_dataset/train_test_competition_split_seed1_subj2_ds1.npz,data/ms20260224/P1_subj2_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj2_seed1_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.24509803921568626,0.76,0.4869281045751634,1.0,0.1388888888888889,0.32,10342315,100,612,150,None,0.0036156988455643257,0.17182907179685222,287.6378022413701,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1,subj2_seed2,raw_dataset/train_test_competition_split_seed2_subj2_ds1.npz,data/ms20260224/P1_subj2_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,0,,uc:spatial2d_patchpool_k124,P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_train.json,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug0_uc20260226/eval_lex_all.json,0.2170418006430868,0.79,0.4742765273311897,1.0,0.15112540192926044,0.3,10342315,100,622,135,None,0.0033952420216671136,0.16099293294792408,287.29297986254096,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1,subj2_seed2,raw_dataset/train_test_competition_split_seed2_subj2_ds1.npz,data/ms20260224/P1_subj2_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,spatial2d_patchpool_uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,1,,uc:spatial2d_patchpool_k124,P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_greedy_test.json,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_train.json,logs/P1_subj2_seed2_raw_ds1_el-all_spatial2d_patchpool_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_spaug1_uc20260226/eval_lex_all.json,0.5016077170418006,0.98,0.639871382636656,1.0,0.5418006430868167,0.82,10342315,100,622,312,None,0.00364105040693111,0.17264848287170034,287.820976274088,280.0,spatial2d_patchpool_uni_gru,False,train,1064,all,1164
